,YearMonth,LangName,CommitCnts
0,2013-9,Objective-C,19993910
1,2009-9,Yacc,17822573
2,2018-9,C,1384916
3,2014-6,Lex,7093377
4,2016-3,Perl,3717511
5,2011-8,Assembly,20892885
6,2016-3,Gherkin,356576
7,2018-7,Batchfile,1064343
8,2010-10,Awk,35355565
9,2013-10,CSS,9071193
10,2015-4,Python,15505842
11,2018-10,C#,452956
12,2011-5,Makefile,26166104
13,2013-2,Lex,10793235
14,2015-5,VimL,721926
15,2015-10,Yacc,3123781
16,2012-5,Perl,22361591
17,2013-12,Tcl,542883
18,2017-1,Java,1812098
19,2019-12,C++,740405
20,2019-11,Objective-C++,222821
21,2013-12,ANTLR,202343
22,2007-12,Perl,7720057
23,2015-10,Java,2548746
24,2009-8,,1137547
25,2007-4,Awk,11581582
26,2005-9,,843469
27,2010-5,Lex,20226461
28,2015-5,Tcl,531074
29,2007-9,XSLT,2086290
30,2019-2,CSS,1201576
31,2011-2,M4,2707880
32,2016-8,Procfile,47058
33,2014-11,Makefile,14367598
34,2021-3,PHP,297808
35,2021-2,PowerShell,269127
36,2019-10,Jupyter Notebook,138981
37,2020-3,Cython,62891
38,2020-3,MLIR,33778
39,2009-10,C#,633353
40,2010-1,Lex,8856238
41,2014-5,HTML,9948804
42,2014-4,C#,1221383
43,2021-5,M4,140135
44,2022-11,Go,67429
45,2014-9,VimL,1161002
46,2010-12,M4,2772033
47,2021-6,LLVM,55856
48,2021-6,Smarty,70731
49,2005-7,M4,1120006
50,2008-8,Makefile,12159281
51,2016-3,CMake,1766803
52,2016-3,Objective-C++,863988
53,2015-2,Prolog,276542
54,2013-8,Yacc,7727513
55,2010-3,Python,27652494
56,2017-5,CMake,1219291
57,2010-3,R,986847
58,2022-4,CSS,353751
59,2011-7,CSS,4417003
60,2017-9,Kotlin,137392
61,2019-3,Objective-C,653193
62,2021-3,Cython,60428
63,2008-12,ASP,18037876
64,2012-1,CMake,1029486
65,2016-5,SaltStack,573266
66,2019-5,CMake,536207
67,2019-5,Starlark,110722
68,2008-5,Visual Basic,239839
69,2009-11,Batchfile,1580066
70,2001-4,DOT,7240
71,2004-9,C++,789580
72,2012-6,Lua,432182
73,2014-11,PostScript,1028111
74,2003-10,C++,673280
75,2016-4,PowerShell,1709392
76,2012-2,GLSL,314866
77,2009-6,Batchfile,1423002
78,2019-6,JavaScript,1261807
79,2019-6,TypeScript,256059
80,2006-6,Go,218234
81,2011-5,CMake,874443
82,2014-1,R,467859
83,2016-1,PHP,1936621
84,2017-9,MLIR,28427
85,2007-2,CSS,1320855
86,2010-2,Erlang,2276588
87,2012-12,Racket,49892
88,2011-10,SCSS,93089
89,2022-1,Perl,268602
90,2014-11,BitBake,15754
91,2008-6,Java,871373
92,2008-6,Puppet,17094
93,2016-1,CoffeeScript,597044
94,2021-2,Objective-C,290212
95,2019-8,GLSL,113360
96,2006-11,CSS,1297855
97,2019-9,Less,75174
98,2012-4,ApacheConf,944281
99,2010-11,CMake,970946
100,2014-1,Dockerfile,603298
101,2018-10,M4,249412
102,2015-1,CoffeeScript,1540098
103,2013-6,Procfile,17242
104,2021-9,Nix,32021
105,2009-3,Common Lisp,68248
106,2009-3,PLSQL,242869
107,2008-1,Matlab,143484
108,2016-2,Groff,547990
109,2009-9,Groovy,284566
110,2003-9,Scilab,102416
111,2011-9,Logos,332643
112,2011-2,Scala,4397686
113,2012-4,Pascal,394273
114,2004-10,Java,473823
115,2000-10,Haskell,56437
116,2009-4,Pascal,440213
117,2001-5,Logos,101472
118,2001-5,OCaml,65904
119,2016-1,SQLPL,258414
120,2002-11,Shell,732140
121,2017-7,Pascal,92755
122,2002-12,Ada,122700
123,2000-4,C++,271401
124,2002-7,Tcl,115382
125,2007-9,C#,264031
126,2001-2,Tcl,100183
127,2011-4,ApacheConf,924486
128,2006-11,Logos,115293
129,2004-2,VimL,92082
130,2008-4,DTrace,124531
131,2008-4,Smalltalk,136706
132,2016-8,Less,87775
133,2009-6,Perl6,251238
134,2012-12,Gherkin,170647
135,2007-11,Lua,232424
136,2003-1,Objective-C,532006
137,2012-7,Ada,192689
138,2011-6,Pascal,547580
139,2009-8,ActionScript,133921
140,2006-1,Perl6,230193
141,2007-6,QMake,59845
142,2002-11,SourcePawn,114427
143,2003-10,Yacc,220763
144,2000-7,Assembly,193393
145,2009-2,OCaml,71740
146,2001-9,PostScript,41310
147,2011-3,Prolog,2843924
148,2020-12,PowerShell,224653
149,2008-9,FORTRAN,133243
150,2000-8,Yacc,142634
151,2020-10,Jinja,45771
152,2022-5,Jinja,34657
