Unnamed: 0,YearMonth,LangName,CommitCnts
58307,2000-01-01,Python,207535
97594,2000-02-01,Python,194531
44093,2000-03-01,Python,220411
61478,2000-04-01,Python,236292
81258,2000-05-01,Python,273033
52769,2000-06-01,Python,272908
42986,2000-07-01,Python,275685
46226,2000-08-01,Python,275388
35562,2000-09-01,Python,269026
26934,2000-10-01,Python,289063
30042,2000-11-01,Python,331745
21649,2000-12-01,Python,335533
96480,2001-01-01,Python,360951
16283,2001-02-01,Python,336572
89909,2001-03-01,Python,400370
65926,2001-04-01,Python,346341
2176,2001-05-01,Python,377846
11901,2001-06-01,Python,359309
38793,2001-07-01,Python,380873
56103,2001-08-01,Python,402936
54990,2001-09-01,Python,317338
131,2001-10-01,Python,451895
2224,2001-11-01,Python,459572
68039,2001-12-01,Python,457231
12974,2002-01-01,Python,455747
19526,2002-02-01,Python,439946
71396,2002-03-01,Python,482071
70260,2002-04-01,Python,487884
16282,2002-05-01,Python,503007
16265,2002-06-01,Python,461188
7581,2002-07-01,Python,468167
94290,2002-08-01,Python,499345
12907,2002-09-01,Python,474751
84527,2002-10-01,Python,503381
14063,2002-11-01,Python,522856
34387,2002-12-01,Python,484324
8680,2003-01-01,Python,621528
34327,2003-02-01,Python,991894
97635,2003-03-01,Python,578932
28040,2003-04-01,Python,558814
19548,2003-05-01,Python,568713
17343,2003-06-01,Python,600381
99691,2003-07-01,Python,589905
62590,2003-08-01,Python,537348
79086,2003-09-01,Python,558631
70299,2003-10-01,Python,598028
87745,2003-11-01,Python,569204
80247,2003-12-01,Python,526682
31169,2004-01-01,Python,718118
6526,2004-02-01,Python,705089
4378,2004-03-01,Python,701731
6525,2004-04-01,Python,641875
76881,2004-05-01,Python,695890
9742,2004-06-01,Python,710210
45193,2004-07-01,Python,658992
41945,2004-08-01,Python,749848
93179,2004-09-01,Python,735998
19538,2004-10-01,Python,770357
49501,2004-11-01,Python,837698
86692,2004-12-01,Python,663106
2182,2005-01-01,Python,883380
69164,2005-02-01,Python,844226
34397,2005-03-01,Python,1051374
87742,2005-04-01,Python,4968035
61471,2005-05-01,Python,9518443
49455,2005-06-01,Python,13320554
71285,2005-07-01,Python,9420729
31088,2005-08-01,Python,8557784
24735,2005-09-01,Python,17071119
64715,2005-10-01,Python,14084832
38668,2005-11-01,Python,16810260
65857,2005-12-01,Python,5642691
87667,2006-01-01,Python,22283163
92032,2006-02-01,Python,11108605
16149,2006-03-01,Python,23261604
93107,2006-04-01,Python,10346033
49465,2006-05-01,Python,8301114
67973,2006-06-01,Python,21904519
52,2006-07-01,Python,10193365
48409,2006-08-01,Python,6847312
89824,2006-09-01,Python,21592901
45136,2006-10-01,Python,15770555
9673,2006-11-01,Python,6344805
6459,2006-12-01,Python,22378485
65853,2007-01-01,Python,6896465
47300,2007-02-01,Python,22228105
